lossfunc,kernel,decay,ngram,skip,learning_rate,pred_thresh,ACC,PRE,REC,PRF,ROC
hinge,--boosting=25,1,3,3,0.5,0.500000,0.81296,0.25986,0.75400,0.38651,0.78598
hinge,--boosting=25,1,3,3,0.5,0.750000,0.81296,0.25986,0.75400,0.38651,0.78598
hinge,--boosting=25,1,3,3,0.5,0.900000,0.81296,0.25986,0.75400,0.38651,0.78598
hinge,--boosting=25,1,3,3,0.5,0.990000,0.81296,0.25986,0.75400,0.38651,0.78598
hinge,--boosting=25,1,3,3,0.1,0.500000,0.70165,0.18965,0.86101,0.31083,0.77458
hinge,--boosting=25,1,3,3,0.1,0.750000,0.70165,0.18965,0.86101,0.31083,0.77458
hinge,--boosting=25,1,3,3,0.1,0.900000,0.70165,0.18965,0.86101,0.31083,0.77458
hinge,--boosting=25,1,3,3,0.1,0.990000,0.70165,0.18965,0.86101,0.31083,0.77458
hinge,--boosting=25,1,3,3,0.01,0.500000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,3,0.01,0.750000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,3,0.01,0.900000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,3,0.01,0.990000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,4,2,10,0.500000,0.85659,0.31107,0.68758,0.42835,0.77925
hinge,--boosting=25,1,4,2,10,0.750000,0.85659,0.31107,0.68758,0.42835,0.77925
hinge,--boosting=25,1,4,2,10,0.900000,0.85659,0.31107,0.68758,0.42835,0.77925
hinge,--boosting=25,1,4,2,10,0.990000,0.85659,0.31107,0.68758,0.42835,0.77925
hinge,--boosting=25,1,4,2,5,0.500000,0.86678,0.32647,0.66298,0.43750,0.77352
hinge,--boosting=25,1,4,2,5,0.750000,0.86678,0.32647,0.66298,0.43750,0.77352
hinge,--boosting=25,1,4,2,5,0.900000,0.86678,0.32647,0.66298,0.43750,0.77352
hinge,--boosting=25,1,4,2,5,0.990000,0.86678,0.32647,0.66298,0.43750,0.77352
hinge,--boosting=25,1,4,2,1,0.500000,0.80450,0.24636,0.72940,0.36832,0.77013
hinge,--boosting=25,1,4,2,1,0.750000,0.80450,0.24636,0.72940,0.36832,0.77013
hinge,--boosting=25,1,4,2,1,0.900000,0.80450,0.24636,0.72940,0.36832,0.77013
hinge,--boosting=25,1,4,2,1,0.990000,0.80450,0.24636,0.72940,0.36832,0.77013
hinge,--boosting=25,1,4,2,0.75,0.500000,0.79758,0.24274,0.75031,0.36681,0.77595
hinge,--boosting=25,1,4,2,0.75,0.750000,0.79758,0.24274,0.75031,0.36681,0.77595
hinge,--boosting=25,1,4,2,0.75,0.900000,0.79758,0.24274,0.75031,0.36681,0.77595
hinge,--boosting=25,1,4,2,0.75,0.990000,0.79758,0.24274,0.75031,0.36681,0.77595
hinge,--boosting=25,1,4,2,0.5,0.500000,0.75702,0.21521,0.79705,0.33891,0.77534
hinge,--boosting=25,1,4,2,0.5,0.750000,0.75702,0.21521,0.79705,0.33891,0.77534
hinge,--boosting=25,1,4,2,0.5,0.900000,0.75702,0.21521,0.79705,0.33891,0.77534
hinge,--boosting=25,1,4,2,0.5,0.990000,0.75702,0.21521,0.79705,0.33891,0.77534
hinge,--boosting=25,1,4,2,0.1,0.500000,0.11957,0.08127,0.99631,0.15028,0.52078
hinge,--boosting=25,1,4,2,0.1,0.750000,0.11957,0.08127,0.99631,0.15028,0.52078
hinge,--boosting=25,1,4,2,0.1,0.900000,0.11957,0.08127,0.99631,0.15028,0.52078
hinge,--boosting=25,1,4,2,0.1,0.990000,0.11957,0.08127,0.99631,0.15028,0.52078
hinge,--boosting=25,1,4,2,0.01,0.500000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,4,2,0.01,0.750000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,4,2,0.01,0.900000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,4,2,0.01,0.990000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,4,2,10,0.500000,0.88120,0.35815,0.65683,0.46354,0.77852
hinge,--boosting=25,1,4,2,10,0.750000,0.88120,0.35815,0.65683,0.46354,0.77852
hinge,--boosting=25,1,4,2,10,0.900000,0.88120,0.35815,0.65683,0.46354,0.77852
hinge,--boosting=25,1,4,2,10,0.990000,0.88120,0.35815,0.65683,0.46354,0.77852
hinge,--boosting=25,1,4,2,5,0.500000,0.88255,0.36154,0.65683,0.46638,0.77925
hinge,--boosting=25,1,4,2,5,0.750000,0.88255,0.36154,0.65683,0.46638,0.77925
hinge,--boosting=25,1,4,2,5,0.900000,0.88255,0.36154,0.65683,0.46638,0.77925
hinge,--boosting=25,1,4,2,5,0.990000,0.88255,0.36154,0.65683,0.46638,0.77925
hinge,--boosting=25,1,4,2,1,0.500000,0.84727,0.30123,0.72325,0.42532,0.79052
hinge,--boosting=25,1,4,2,1,0.750000,0.84727,0.30123,0.72325,0.42532,0.79052
hinge,--boosting=25,1,4,2,1,0.900000,0.84727,0.30123,0.72325,0.42532,0.79052
hinge,--boosting=25,1,4,2,1,0.990000,0.84727,0.30123,0.72325,0.42532,0.79052
hinge,--boosting=25,1,4,2,0.75,0.500000,0.81498,0.26239,0.75523,0.38947,0.78763
hinge,--boosting=25,1,4,2,0.75,0.750000,0.81498,0.26239,0.75523,0.38947,0.78763
hinge,--boosting=25,1,4,2,0.75,0.900000,0.81498,0.26239,0.75523,0.38947,0.78763
hinge,--boosting=25,1,4,2,0.75,0.990000,0.81498,0.26239,0.75523,0.38947,0.78763
hinge,--boosting=25,1,4,2,0.5,0.500000,0.80546,0.25093,0.75031,0.37608,0.78022
hinge,--boosting=25,1,4,2,0.5,0.750000,0.80546,0.25093,0.75031,0.37608,0.78022
hinge,--boosting=25,1,4,2,0.5,0.900000,0.80546,0.25093,0.75031,0.37608,0.78022
